Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2023-03-24,2023-03-25,7800,LE  TREMPLIN,Dining,158.18,
2023-03-25,2023-03-25,7800,Tomorrowland Winter 20,Dining,43.60,
2023-03-22,2023-03-23,7800,LA MI DO RE,Dining,16.51,
2023-03-22,2023-03-23,7800,LA MI DO RE,Dining,2.70,
2023-03-22,2023-03-23,7800,SKISET,Other Services,23.74,
2023-03-22,2023-03-23,7800,SKISET,Other Services,23.74,
2023-03-22,2023-03-23,7800,LE  TREMPLIN,Dining,57.62,
2023-03-22,2023-03-23,7800,Tomorrowland Winter 20,Dining,86.32,
2023-03-21,2023-03-22,7800,LA JONQUERA HOSTELERIA,Dining,10.70,
2023-03-20,2023-03-21,7800,M.SUPERMERCATS,Merchandise,1.60,
2023-03-20,2023-03-21,7800,trainline,Other Travel,,224.55
2023-03-19,2023-03-20,7800,BAR BAUMA,Dining,78.92,
2023-03-18,2023-03-20,7800,CASA GRACIA,Lodging,9.67,
2023-03-18,2023-03-20,7800,METRO BARCELONA,Other Travel,50.80,
2023-03-17,2023-03-18,7800,HUDSONNEWS  ST1297,Merchandise,5.33,
2023-03-16,2023-03-17,7800,CVS/PHARMACY #06064,Health Care,7.29,
2023-03-16,2023-03-17,7800,CVS/PHARMACY #06064,Health Care,103.73,
2023-03-16,2023-03-17,7800,HARRIS CLIFTON,Dining,7.03,
2023-03-15,2023-03-16,7800,HARRIS CLIFTON,Dining,7.03,
2023-03-14,2023-03-15,7800,HARRIS CLIFTON,Dining,7.03,
2023-03-14,2023-03-14,7800,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,1537.76
2023-03-13,2023-03-14,7800,HARRIS CLIFTON,Dining,6.59,
2023-03-12,2023-03-13,7800,CLARK DERM* BILLING,Health Care,131.50,
2023-03-12,2023-03-13,7800,STOP & SHOP 0813,Merchandise,139.41,
2023-03-10,2023-03-11,7800,TL WINTER107618779,Entertainment,206.55,
2023-03-09,2023-03-11,7800,IWC INTERNATIONAL,Other,13.71,
2023-03-09,2023-03-11,7800,TROPSUNPROD.COM,Other,13.86,
